scenario,operation,n,avg_cmp,max_cmp,avg_read,max_read,avg_assign,max_assign,avg_height,max_height
sorted,insert,10000,4999.5,9999,19999,39997,5000.5,10000,5000.5,10000
sorted,delete,10000,5005.36,19958,10011.7,39917,2502.68,9979,4999.5,9999
random,insert,10000,15.4355,35,62.742,141,16.4355,36,26.8159,36
random,delete,10000,23.2141,52,63.7081,143,15.3983,38,26.5368,36
sorted,insert,20000,9999.5,19999,39999,79997,10000.5,20000,10000.5,20000
sorted,delete,20000,10003.2,39894,20007.3,79789,5001.58,19947,9999.5,19999
random,insert,20000,16.8656,36,68.4623,145,17.8656,37,29.7306,37
random,delete,20000,25.4623,54,69.3826,151,16.8184,40,29.635,37
sorted,insert,30000,14999.5,29999,59999,119997,15000.5,30000,15000.5,30000
sorted,delete,30000,14999.3,59836,29999.6,119673,7499.66,29918,14999.5,29999
random,insert,30000,17.6387,38,71.555,153,18.6387,39,31.0455,39
random,delete,30000,26.5975,59,72.5251,159,17.6041,42,30.7734,39
sorted,insert,40000,19999.5,39999,79999,159997,20000.5,40000,20000.5,40000
sorted,delete,40000,19997.5,79900,39995.9,159801,9998.73,39950,19999.5,39999
random,insert,40000,18.492,41,74.9679,165,19.492,42,33.0399,42
random,delete,40000,27.7171,67,75.8742,177,18.4415,44,33.0073,42
sorted,insert,50000,24999.5,49999,99999,199997,25000.5,50000,25000.5,50000
sorted,delete,50000,25017.3,99890,50035.6,199781,12508.6,49945,24999.5,49999
random,insert,50000,18.8256,41,76.3024,165,19.8256,42,33.9193,42
random,delete,50000,28.1489,62,77.2166,167,18.7788,45,33.5272,42
sorted,insert,60000,29999.5,59999,119999,239997,30000.5,60000,30000.5,60000
sorted,delete,60000,30023,119874,60047,239749,15011.5,59937,29999.5,59999
random,insert,60000,19.0692,40,77.2767,161,20.0692,41,34.1226,41
random,delete,60000,28.4523,65,78.2239,173,19.0303,44,33.958,41
sorted,insert,70000,34999.5,69999,139999,279997,35000.5,70000,35000.5,70000
sorted,delete,70000,34989,139876,69979,279753,17494.5,69938,34999.5,69999
random,insert,70000,19.8058,44,80.2232,177,20.8058,45,35.416,45
random,delete,70000,29.8744,69,81.155,193,19.763,51,35.1161,45
sorted,insert,80000,39999.5,79999,159999,319997,40000.5,80000,40000.5,80000
sorted,delete,80000,39980.1,159834,79961.1,319669,19990,79917,39999.5,79999
random,insert,80000,19.6368,40,79.5471,161,20.6368,41,34.7453,41
random,delete,80000,29.512,69,80.4756,171,19.5931,45,34.6176,41
sorted,insert,90000,44999.5,89999,179999,359997,45000.5,90000,45000.5,90000
sorted,delete,90000,45002.7,179974,90006.4,359949,22501.3,89987,44999.5,89999
random,insert,90000,19.9612,44,80.8448,177,20.9612,45,35.6251,45
random,delete,90000,29.7915,65,81.7446,175,19.9099,48,35.5065,45
sorted,insert,100000,49999.5,99999,199999,399997,50000.5,100000,50000.5,100000
sorted,delete,100000,50043,199942,100087,399885,25021.5,99971,49999.5,99999
random,insert,100000,20.5249,43,83.0996,173,21.5249,44,37,44
random,delete,100000,30.6057,69,84.0152,181,20.4785,49,36.9205,44
